"","UnitCode","StdLocName","SiteID","MarkerType","MarkerName","SpatialDataSource","MonumentDate","RetiredYear","RetiredReason","SafetyNotes","NavigationNotes","QAQCed","Certified","DateCertified","globalid","NEAR_FID","NEAR_DIST"
"11","SAGW","Wildlife_SAGW_W101_049",74,"GPS Only","W101_049","Samsung Tab Active A","2017/01/24 00:00:00",NA,NA,NA,"From Plot 101_050 hike 1km facing East to plot.","Y",NA,NA,"{D37301B7-D8D5-4BB4-BA79-18970F91203D}",3,0.105066772916264
"12","SAGW","Wildlife_SAGW_W202_036",84,"GPS Only","W202_036","Samsung Tab Active A","2017/01/24 00:00:00",NA,NA,NA,"about 1 km due east of point #2. easiest route is to be on the southern side of first large wash you come across.","Y",NA,NA,"{7CC38C18-E307-4D21-83F2-C53EF9E7E6B8}",3,0.124453715369281
"13","SAGW","Wildlife_SAGW_W202_011",104,"GPS Only","W202_011","Samsung Tab Active A","2017/01/26 00:00:00",NA,NA,NA,"Follow Hugh Norris Trail until trail junction. Take the Sandero Esparanza trail to the North. Skirt along the hill until you hit plot on the NW side.","Y",NA,NA,"{FBB3433C-2013-4214-8AC4-52C37B3841D0}",3,0.110528751202862
"14","CHIR","Wildlife_CHIR_V501_004",166,"Rebar","V501_004","Garmin GLO","2017/09/21 00:00:00",NA,NA,"na","follow creek/drainage as far as possible.","Y",NA,NA,"{48775ECD-6042-4AEF-84D8-DB8583071561}",8,0.0260868841154684
"15","CHIR","Wildlife_CHIR_V502_001",143,"Rebar","V502_001","Garmin GLO","2017/09/11 00:00:00",NA,NA,"na","duplicate access to 503_011 to begin route. skirt along western edge of sugarloaf, keeping on lowest topographical level. point is a more or less straight shot at about 312 degrees. easier access than it looks on map.","Y",NA,NA,"{D37369BF-EBDC-4377-BFD3-DA8C117AB7CE}",8,0.00399173590757061
"16","ORPI","Wildlife_ORPI_V103_14W",29,"GPS Only","V103_14W","Samsung Tab Active A","2016/04/22 00:00:00",NA,NA,"steep slope, loose rock","Park on Puerto Blanco rd. hike 350m up sloping ridge. cam is on east slope of saddle between 2 small peaks","Y",NA,NA,"{CDAED89C-5B8E-4E5C-90EA-940EECB2532F}",2,0.0463204693012122
"17","CHIR","Wildlife_CHIR_V503_009",138,"Rebar","V503_009","Garmin GLO","2017/09/10 00:00:00",NA,NA,"be careful of loose rock on the down hike ","park @ Echo Canyon Loop trailhead. take echo canyon trail until point is approx 186 degrees. should see a clear path to point between 3 prominent hoodoo features on map. try and stay on same contour level until about 40 meters from point, then drop down ","Y",NA,NA,"{960F47CD-F942-456B-BEB2-8686F9FF6F54}",8,0.0259297257350565
"18","SAGW","Wildlife_SAGW_W102_054",107,"GPS Only","W102_054","Samsung Tab Active A","2017/01/26 00:00:00",NA,NA,NA,"Park at sharp pullout on picture rocks rd. hike on ringtail trail to large wash. cross wash and hike social trail to power line. hike 100m on power line Rd to camera on east side of wash","Y",NA,NA,"{BDD4EFC9-9787-415E-951E-03AB67EC9E72}",3,0.0419379131203825
"19","CAGR","Wildlife_CAGR_V101_001",126,"Rebar","V101_001","Samsung Tab Active A","2017/07/25 00:00:00",NA,NA,NA," ","Y",NA,NA,"{EDFCE255-0AF9-42F9-9546-747E50F35581}",7,0.00770840523507551
"20","ORPI","Wildlife_ORPI_V102_44W",21,"GPS Only","V102_44W","Samsung Tab Active A","2016/04/22 00:00:00",NA,NA,NA,"Park on Fence line road when you are at about 2.5km from point and hike north.","Y",NA,NA,"{3B8C8ECD-CCA6-4783-8DB8-7EAB17AB8F84}",69,0.149640774262832
"21","ORPI","Wildlife_ORPI_V101_010",3,"Rebar","V101_010","Samsung Tab Active A","2016/03/22 00:00:00",NA,NA,NA,"Park at ajo mtn wayside and walk east","Y",NA,NA,"{CC24E6AC-9C9E-4EE9-9604-C5AD0595E179}",1,0.0446900796975592
"22","SAGW","Wildlife_SAGW_W202_003",80,"GPS Only","W202_003","Samsung Tab Active A","2017/01/24 00:00:00",NA,NA,"loose rock everwhere","King canyon trl head, Gould mine trl to first junction, Sendero Esperanza tr west, cut off tr to GPS nav to point down slope following ridge.","Y",NA,NA,"{0E84472F-5A20-42BA-AAE9-39F0D5A1DF59}",3,0.117151298524608
"23","CHIR","Wildlife_CHIR_V502_018",164,"Rebar","V502_018","Garmin GLO","2017/09/21 00:00:00",NA,NA,"Loose rocks, steep.","Park at Natural Bridge Trail. After trail turns west go off trail and head up slope. Once you gain the ridge, plot is ca. 500 m away.","Y",NA,NA,"{F1F15A2B-FC97-4399-B237-E38C8716B614}",8,0.0145707685531083
"24","SAGW","Wildlife_SAGW_W102_039",69,"GPS Only","W102_039","Samsung Tab Active A","2017/01/23 00:00:00",NA,NA,NA,"na","Y",NA,NA,"{C40C0022-665C-47CC-98DE-834A72A245CB}",3,0.143833862574737
"25","SAGW","Wildlife_SAGW_W202_027",109,"GPS Only","W202_027","Samsung Tab Active A","2017/01/26 00:00:00",NA,NA,NA,"take Picture Rocks Rd from VC. upon entering park boundary take dirt Rd south at the bed in the road. park within 200m. camera will be at 90° bearing.","Y",NA,NA,"{613390BF-A2EE-48F3-AE24-72BC9CF54615}",3,0.0656352450277239
"26","CHIR","Wildlife_CHIR_Bonita_Index3",161,"GPS Only","Bonita_Index3","Garmin GLO","2017/09/20 00:00:00",NA,NA,"lots of jackstrawed snags overhead. ","Park within 160ft. use hazard lights on vehicle.","Y",NA,NA,"{FB7B4901-13A5-4E4B-9FC3-0ABD5A5121B8}",8,0.000853858584169889
"27","CHIR","Wildlife_CHIR_V501_002",168,"Rebar","V501_002","Garmin GLO","2017/09/21 00:00:00",NA,NA,"Hike is extremely steep at beginning and ending portion","Park vehicle before gate on upper portion of King of Lead Mine rd. Pass through gate, and then downhill until you meet the large drainage that is east of point. Follow drainage until you are about 160m east of point. ","Y",NA,NA,"{7E36D816-E34D-4766-97B1-7E2533AF805B}",8,0.0350091757214952
"28","SAGW","Wildlife_SAGW_W102_030",61,"GPS Only","W102_030","Samsung Tab Active A","2017/01/23 00:00:00",NA,NA,NA,"Park at picture rocks trl head off picture rocks rd. take wash to immediate small saddle and cross over to flats, nav strght  to gps point.","Y",NA,NA,"{3BDB8B68-88C8-461B-AC13-4080859D56D5}",3,0.0381561282049659
"29","ORPI","Wildlife_ORPI_V103_011",45,"Rebar","V103_011","Samsung Tab Active A","2016/04/25 00:00:00",NA,NA,"high human traffic area. be alert.","hike from Bates Well 1.6km. moved ~25m @ 60° from rebar due to high traffic area.behind creosote bush near acacia tree/saguaro.use main wash til it bends away,take 2track. stay low until necessary","Y",NA,NA,"{2D8D37DE-7D0A-4795-A9F5-1AB5E5EAFEC4}",153,0.14436857844838
"30","SAGW","Wildlife_SAGW_W202_028",88,"GPS Only","W202_028","Samsung Tab Active A","2017/01/25 00:00:00",NA,NA,NA,"Follow Ironwood Forest trail. Once 450 meters away from plot head off trail to the east until you hit plot.","Y",NA,NA,"{4A0B55C4-050F-4579-96DA-2C30898519B0}",3,0.0488953234410504
"31","SAGW","Wildlife_SAGW_W101_044",91,"GPS Only","W101_044","Samsung Tab Active A","2017/01/25 00:00:00",NA,NA,"look both ways when crossing sanderio. easier to cross fence at one of many wash entrances","Park on side of sanderio. original point was right next to trail, so point was moved approx 33 meters to east. camera right at base of CYLSPI, and 10 m from large Palo Verde @120 degrees","Y",NA,NA,"{DC2BED20-3F7A-4C8A-BFE7-F686FD973DA5}",3,0.121543593813128
"32","ORPI","Wildlife_ORPI_V102_93R",55,"GPS Only","V102_93R","Samsung Tab Active A","2016/04/27 00:00:00",NA,NA,"If accessing via wrong way on NPB dr, drive slowly with hazards on and watch for dust clouds in the distance (indicating approaching vehicles)","take hwy 85 south, to South PB drive west to North PB drive. At junction with Pozo Nuevo, go north up one way (Puerto Blanco). park at utility station (look for tower with solar panels). Camera is west of wash, right in front of LARGE Palo Verde.","Y",NA,NA,"{CC954ED3-FEBE-42FB-8156-68B52C3BB8B3}",157,0.0464140684805796
"33","TONT","Wildlife_TONT_V202_009",169,"Rebar","V202_009","Garmin GLO","2017/05/17 00:00:00",NA,NA,"na","Park at natrual resources/maintencance yard. Head east at base of hills, upslope on northeast-facing slope of first canyon. ","Y",NA,NA,"{4F718290-B8F8-42D4-AB09-F4D0DF1E203A}",439,0.010470404452224
"34","ORPI","Wildlife_ORPI_V101_001",35,"Rebar","V101_001","Samsung Tab Active A","2016/04/25 00:00:00",NA,NA,NA,"Park on Bates Well Road 230m from point.Park at large pull out","Y",NA,NA,"{4D031653-6CCA-44F8-A3EB-E958DFE5E4E8}",153,0.191157208548734
"35","ORPI","Wildlife_ORPI_V102_007",57,"Rebar","V102_007","Samsung Tab Active A","2016/04/27 00:00:00",NA,NA,NA,"went through a pass between hills on the way, pleasant walking","Y",NA,NA,"{CC521732-000C-40B5-9A1B-5810EDCED3AC}",153,0.0384564870772021
"36","SAGW","Wildlife_SAGW_W202_040",106,"GPS Only","W202_040","Samsung Tab Active A","2017/01/26 00:00:00",NA,NA,NA,"Follow Hugh Norris Trail until 200 meters away from plot. Go off trail towards NW. Traverse ridge until you hit plot.","Y",NA,NA,"{4D7BE690-9BCD-4B3D-A614-9B3E0552DED7}",3,0.126346191950954
"37","ORPI","Wildlife_ORPI_V103_005",9,"Rebar","V103_005","Samsung Tab Active A","2016/03/22 00:00:00",NA,NA,NA,"5k from Ajo Way point parking along closed wilderness road.","Y",NA,NA,"{1037F051-4894-43EC-A5DC-4C8C95BFACA3}",104,0.0348468966360816
"38","ORPI","Wildlife_ORPI_V101_002",40,"Rebar","V101_002","Samsung Tab Active A","2016/04/25 00:00:00",NA,NA,NA,"Park on Pozo Nuevo road 200m from point.","Y",NA,NA,"{CFB92B0E-B457-468C-8E26-37E113878659}",153,0.193568596283837
"39","ORPI","Wildlife_ORPI_V101_12W",22,"GPS Only","V101_12W","Samsung Tab Active A","2016/04/22 00:00:00",NA,NA,"loose rocks on the way","approx. 1km from 102_17W. ,moved point 39m east of original due to uda presence. camera at base of cholla about 3m from large barrel cactus","Y",NA,NA,"{F54D36FB-BAF4-4AAD-A961-126883B3B0BC}",2,0.0657125357907958
"40","CHIR","Wildlife_CHIR_V402_015",141,"Rebar","V402_015","Garmin GLO","2017/09/10 00:00:00",NA,NA,"na","Take Pinery canyon road approx 2 miles. Hike approx 600m NE. You will need to cross 2 fences on way. Point is on hillside adjacent to a patch of RHUVIR, JUNDEP, and GARWRI.","Y",NA,NA,"{ED00EC84-A2DF-49E2-AF10-1D27B6EE5DC9}",5,0.0126489803886811
"41","CHIR","Wildlife_CHIR_V503_004",139,"Rebar","V503_004","Garmin GLO","2017/09/10 00:00:00",NA,NA,"Loose rocks, lots of bush wacking.","Park at Sugarloaf Trailhead. Hike is approx. 500m from lot. Hike N down ridge and across drainage to the east. At the following ridge, there will be a second drainage below. Point is on other side of this drainage.","Y",NA,NA,"{AAC7D4F3-6B97-4120-A2D0-46790C799F2A}",8,0.0179436742301921
"42","ORPI","Wildlife_ORPI_V102_81R",54,"GPS Only","V102_81R","Samsung Tab Active A","2016/04/27 00:00:00",NA,NA,NA,"Easy walk from Pozo Nuevo Rd.cross the wide part of the wash","Y",NA,NA,"{80B303DB-67AA-4853-B63D-204D15E70324}",157,0.0439925406431859
"43","SAGW","Wildlife_SAGW_W202_043",97,"GPS Only","W202_043","Samsung Tab Active A","2017/01/25 00:00:00",NA,NA,NA,"stay low to avoid hard wash crossings check topo when close","Y",NA,NA,"{DCFB1ABB-E0A9-4C82-8678-0C65E4582FC6}",3,0.0760379725362261
"44","SAGW","Wildlife_SAGW_W102_056",116,"GPS Only","W102_056","Samsung Tab Active A","2017/01/31 00:00:00",NA,NA,"the boundary is bordering a house. walk past the driveway, then cross the fence to park.","camera is now located 89.5 m south of the original location. it is close to the park boundary.","Y",NA,NA,"{D9598348-FBC9-4457-BFE4-632EACA1ACB7}",3,0.0248542772891649
"45","ORPI","Wildlife_ORPI_V102_001R",50,"Rebar","V102_001R","Garmin GLO","2018/04/26 00:00:00",NA,NA,NA,"Park at the windmill on Pozo Nuevo road at 850m from the point and hike around the hill.","Y",NA,NA,"{329EE231-BC2D-42E0-9457-BAA4446589BC}",157,0.0793126873092452
"46","ORPI","Wildlife_ORPI_V102_011",52,"Rebar","V102_011","Samsung Tab Active A","2016/04/27 00:00:00",NA,NA,NA,"we walked from point 007 it was great weather and fairly flat.","Y",NA,NA,"{A0AC48F7-AB29-4E17-8F04-E49EAF11743C}",153,0.0812063937867475
"47","SAGW","Wildlife_SAGW_W102_058",108,"GPS Only","W102_058","Samsung Tab Active A","2017/01/26 00:00:00",NA,NA,NA,"Park off pictures rocks Rd near sharp curve. use trail to get within <100m","Y",NA,NA,"{183BFCD9-D4B9-4349-822A-E60086DBECA7}",3,0.0427705899348508
"48","ORPI","Wildlife_ORPI_V101_53W",31,"GPS Only","V101_53W","Samsung Tab Active A","2016/04/23 00:00:00",NA,NA,NA,"Park on highway 85 when at ~2.5km from point and hike straight to it.","Y",NA,NA,"{C5DE94A1-2397-41F4-A355-4CA16E2F1C93}",69,0.123046344654488
"49","CHIR","Wildlife_CHIR_V502_019",154,"Rebar","V502_019","Garmin GLO","2017/09/13 00:00:00",NA,NA,"na","Park at Massai Pt. and take trail to first junction. Go left towards Mushroom Rock on Ed Riggs tr. At 2nd junction, go left towards M. Rock trail. Continue through drainage although maintained trail will go R/W. Continue S on the E fork of drainage.","Y",NA,NA,"{2388FB17-482D-4BAC-919A-618487D09E98}",8,0.0477326476100693
"50","SAGW","Wildlife_SAGW_W202_012",113,"GPS Only","W202_012","Samsung Tab Active A","2017/01/26 00:00:00",NA,NA,NA,"Park at sandero esperanza trailhead and take trail southwest. at junction southwest with dobe trail, take wash to the southeast. follow drainage until point is about 50m to the north. cam is in clearing at base of small cholla.","Y",NA,NA,"{52010406-5E3D-450E-8DFD-236CC5B9BE83}",3,0.103484922262084
"51","SAGW","Wildlife_SAGW_W202_022",98,"GPS Only","W202_022","Samsung Tab Active A","2017/01/25 00:00:00",NA,NA,NA,"from 43 skirt along side of mountain to avoid drainages ","Y",NA,NA,"{D06308EB-E033-4DA4-BC32-A9A3C96B1EAB}",3,0.0831073553864584
"52","ORPI","Wildlife_ORPI_V102_001W",14,"Rebar","V102_001W","Samsung Tab Active A","2016/03/23 00:00:00",NA,NA,NA,"Park on highway at about 2.5km from the point and hike straight to it.","Y",NA,NA,"{1C137AAE-DBB0-41EA-9DF8-4C76C17E5B49}",69,0.131939608978289
"53","CHIR","Wildlife_CHIR_V503_008",137,"Rebar","V503_008","Garmin GLO","2017/09/10 00:00:00",NA,NA,"na","Point accessed via sidewalk west of Massai Point Interpretive hut. About 50m N of sidewalk's northern apex.","Y",NA,NA,"{64486D7B-534E-46A2-8E43-780F116594F0}",8,0.0294912170225744
"54","SAGW","Wildlife_SAGW_W202_045",99,"GPS Only","W202_045","Samsung Tab Active A","2017/01/25 00:00:00",NA,NA,NA,"from camera point 22 go north until you see a big wash head down until you see there is a direct line over a ridge to point. ","Y",NA,NA,"{67DAC7B6-54DB-441D-95FB-019FC7469097}",3,0.0765559761891897
"55","SAGW","Wildlife_SAGW_W202_005",79,"GPS Only","W202_005","Samsung Tab Active A","2017/01/24 00:00:00",NA,NA,NA,"Take Kings Canyon Trail, cutting off trail when appropriate to navigate through hills.  Camera is near top of a hill facing West.","Y",NA,NA,"{11B08233-5524-4411-9FB9-65D8258959A9}",3,0.104136942923841
"56","CHIR","Wildlife_CHIR_V503_011",130,"Rebar","V503_011","Garmin GLO","2017/09/08 00:00:00",NA,NA,"na","when hiking to/from point, stay on same contour layer as point. much easier bushwacking this way (less manzanita this route). Drop down from road where you see white reflectors on side of road.","Y",NA,NA,"{44EC467E-059C-49F7-A17E-F53F5E4B2A95}",8,0.0184549939309459
"57","SAGW","Wildlife_SAGW_W102_035",71,"GPS Only","W102_035","Samsung Tab Active A","2017/01/23 00:00:00",NA,NA,NA,"Park on side of road and walk down to drainage where you can squeeze underneath barbed wire fence.","Y",NA,NA,"{2463A578-FBD5-4C5B-8440-87A6089C7AB7}",3,0.148745785502763
"58","ORPI","Wildlife_ORPI_V101_006",42,"Rebar","V101_006","Samsung Tab Active A","2016/04/25 00:00:00",NA,NA,NA,"from point 09 walk south west","Y",NA,NA,"{93DA8AD1-5226-4DDF-BD6A-50FD587D4AF4}",157,0.169807132685237
"59","ORPI","Wildlife_ORPI_V101_23W",30,"GPS Only","V101_23W","Samsung Tab Active A","2016/04/23 00:00:00",NA,NA,NA,"Park north of mile post 72. follow base of mountain.go over the saddle and drop south","Y",NA,NA,"{7096879F-1F2D-4552-B822-2E05342C1A4D}",2,0.0654546939184786
"60","SAGW","Wildlife_SAGW_W101_038",66,"GPS Only","W101_038","Samsung Tab Active A","2017/01/23 00:00:00",NA,NA,NA,"just west of giant pencil cholla","Y",NA,NA,"{5BE8F270-6A6F-48E4-AC1F-416E6477E639}",3,0.150298125619101
"61","SAGW","Wildlife_SAGW_W202_018",112,"GPS Only","W202_018","Samsung Tab Active A","2017/01/26 00:00:00",NA,NA,NA,"point is approx 400 m east of sandero esperanza trail.","Y",NA,NA,"{3D1A8F42-F3B5-403A-94B8-D25DD467F826}",3,0.0968043256563574
"62","SAGW","Wildlife_SAGW_W202_029",62,"GPS Only","W202_029","Samsung Tab Active A","2017/01/23 00:00:00",NA,NA,"Loose, steep gravel/rock slope","from 102_030 hike up canyon west until slope beside drainage is more favorable, leave drain and continue directly west up steep rocky slope to destination","Y",NA,NA,"{0269627E-7931-4084-93A6-D50C7F214579}",3,0.0467295637914667
"63","CAGR","Wildlife_CAGR_V101_CMPD_G",124,"Rebar","V101_CMPD_G","Samsung Tab Active A","2017/07/25 00:00:00",NA,NA,NA,"Park near resources building. Walk 125m East towards large mound (compound G)","Y",NA,NA,"{1432DAAA-5759-4728-98EC-041ADC90D985}",7,0.00201954351742292
"64","SAGW","Wildlife_SAGW_W202_023",119,"GPS Only","W202_023","Samsung Tab Active A","2017/01/31 00:00:00",NA,NA,NA,"Camino Del Cerro Trailhead. straight to point staying on contour ~850m.","Y",NA,NA,"{1704CB51-0B54-4131-82AA-C205834943BA}",3,0.0695127532080501
"65","TONT","Wildlife_TONT_V202_006",183,"Rebar","V202_006","Garmin GLO","2017/05/17 00:00:00",NA,NA,"steep slope, loose rock","Hike down slope (SE) from covered benches on Lower Ruin Trail","Y",NA,NA,"{19F1ECD6-20F6-4327-A7C3-77B4072BC84C}",439,0.00518662357927971
"66","ORPI","Wildlife_ORPI_V101_16W",19,"GPS Only","V101_16W","Samsung Tab Active A","2016/04/22 00:00:00",NA,NA,"bees in the area","Park at larger pull out with sign etc.Park by large pull out and walk east","Y",NA,NA,"{A46EF547-2EF2-4FFF-921C-D5A2D4AAA7B1}",69,0.0855114739826887
"67","CHIR","Wildlife_CHIR_V502_017",147,"Rebar","V502_017","Garmin GLO","2017/09/12 00:00:00",NA,NA,"easy hike up Jessie james","aces by way of Jessie James canyon. not recommended do go over hills to south of plot. camera is 60 at 290 degrees from 0,0. In small clearing with low grass cover. downs lope of large fallen snag.","Y",NA,NA,"{CF8AF22B-5AA3-4C98-912F-EE76CDBA43E3}",9,0.026948740977987
"68","ORPI","Wildlife_ORPI_V101_007",2,"Rebar","V101_007","Samsung Tab Active A","2016/03/22 00:00:00",NA,NA,NA,"take 85 north, park at ajo mtn wayside .","Y",NA,NA,"{9643D209-931D-4A09-B4B1-81F1E11DE667}",1,0.048487785507169
"69","ORPI","Wildlife_ORPI_V103_002",46,"Rebar","V103_002","Garmin GLO","2018/04/26 00:00:00",NA,NA,"very steep slope aim for the canyon right before the obvious one with lighter tan spots.","from point 12 walk down hill through flats and turn up wash before the one with tan hills at the top.nav towards arch in mtnpatch and northern cave, cam near sandstone soil patch","Y",NA,NA,"{9485438A-3B90-4B3A-8762-F8F63F857E0C}",153,0.130447787884193
"70","SAGW","Wildlife_SAGW_W102_059",65,"GPS Only","W102_059","Samsung Tab Active A","2017/01/23 00:00:00",NA,NA,NA,"continue south from 60 (see notes on drop point). follow a combination of unofficial trails on state land toward Roadrunner trail. Stay in the large wash. Point near small hill.","Y",NA,NA,"{D860C25A-7BB9-4CFA-8155-139BDB53A550}",3,0.0637646885482127
"71","CHIR","Wildlife_CHIR_V402_013",142,"Rebar","V402_013","Garmin GLO","2017/09/10 00:00:00",NA,NA,"na","Drove Pinery canyon road past two cattle guards. Hiked 750m north to plot","Y",NA,NA,"{CCF58287-FF00-4411-9909-8FCC58B4D38E}",5,0.0156771529607964
"72","ORPI","Wildlife_ORPI_V102_008",8,"Rebar","V102_008","Samsung Tab Active A","2016/03/22 00:00:00",NA,NA,NA,"3.5 km from 101_014. Did not have time for complete loop which would have included 102_003 and 103_005.","Y",NA,NA,"{1D63C05B-A8F1-48CA-B778-F20706B619D7}",104,0.0560571908303062
"73","ORPI","Wildlife_ORPI_V103_004",51,"Rebar","V103_004","Garmin GLO","2018/04/26 00:00:00",NA,NA,"high UDA traffic area","mostly the same, hug base of men's as best you can.","Y",NA,NA,"{E9BE62EF-0D40-4BD8-91A7-76FE15EEE982}",153,0.119608693493158
"74","ORPI","Wildlife_ORPI_V103_001W",18,"Rebar","V103_001W","Samsung Tab Active A","2016/03/24 00:00:00",NA,NA,NA,"up slope and north of 103_15W","Y",NA,NA,"{29F0D35E-BBBE-4895-89DA-6427F67DC3C7}",2,0.0161492907640052
"75","ORPI","Wildlife_ORPI_V103_03W",33,"GPS Only","V103_03W","Samsung Tab Active A","2016/04/23 00:00:00",NA,NA,"dense vegitation. pull out can be sketchy be careful.","follow drainage camera is north east of large saguaro.Park after steep ish decline. walk straight down gully","Y",NA,NA,"{FF8BD145-0BFC-4B96-BA08-870E1AEF04ED}",2,0.0676157130552681
"76","ORPI","Wildlife_ORPI_V102_128R",58,"GPS Only","V102_128R","Samsung Tab Active A","2016/04/27 00:00:00",NA,NA,"when approaching point from 011 there are deep washes close to point","close to road.stay north of washes","Y",NA,NA,"{E7851155-0C26-471B-BC67-D0DBB44B3A69}",153,0.048807507949705
"77","SAGW","Wildlife_SAGW_W102_055",117,"GPS Only","W102_055","Samsung Tab Active A","2017/01/31 00:00:00",NA,NA,"Dense vegetation, flat terrain.","from Abington trail hike north. take wash to the right .","Y",NA,NA,"{843A11EC-84B0-4681-82AD-01436DCEAF3E}",3,0.029285356624596
"78","ORPI","Wildlife_ORPI_V101_003",1,"Rebar","V101_003","Samsung Tab Active A","2016/03/21 00:00:00",NA,NA,NA,"Park in turnout north of Ajo Turnout on east side of 85. Cam is about 400m east of road.","Y",NA,NA,"{36BFD748-8DCD-479E-8A2D-3F1BF4C9C238}",1,0.0644029168683189
"79","TONT","Wildlife_TONT_V202_010",204,"Rebar","V202_010","Garmin GLO","2017/05/17 00:00:00",NA,NA,"steep crumbly rock","Park @ power station. Take beginning of trail as it heads west. Stay on western portion of mesa. Find western boundary fence and follow south until large drainage. Cut out of drainage to SE towards point","Y",NA,NA,"{DBA5DB0F-7E63-493E-B92F-A4C27C6827A7}",439,0.0129869350457164
"80","SAGW","Wildlife_SAGW_W102_060",64,"GPS Only","W102_060","Samsung Tab Active A","2017/01/23 00:00:00",NA,NA,NA,"take Panther peak wash trail until white boundary sign. continuecontinue to hiketo north to jeep/horse trail. follow trail to point. ","Y",NA,NA,"{105C500E-64D7-4493-A64E-63852575A24C}",3,0.065838073285873
"81","ORPI","Wildlife_ORPI_V101_011",44,"Rebar","V101_011","Samsung Tab Active A","2016/04/25 00:00:00",NA,NA,NA,"Walk north west from 006","Y",NA,NA,"{852B27C3-ACC6-4EBF-A262-4BBDDE47F200}",157,0.181422875271998
"82","ORPI","Wildlife_ORPI_V102_54W",23,"GPS Only","V102_54W","Samsung Tab Active A","2016/04/22 00:00:00",NA,NA,NA,"Park on the fenceline road and hike straight to the point","Y",NA,NA,"{D15A21CE-156E-49F0-BECF-72F6F13E2ABA}",69,0.152740731027058
"83","CHIR","Wildlife_CHIR_V503_007",135,"Rebar","V503_007","Garmin GLO","2017/09/09 00:00:00",NA,NA,"steep with rock climbing involved","follow drainage until it turns north east, then cross drainage to be on the left, involved hoodoo climbing so be safe!","Y",NA,NA,"{AF5F2C8D-4A86-45AE-98F0-621F4BFE0508}",8,0.0136956264996568
